sampleID,Psi3_Junctions,Psi5_Junctions,Theta_Junctions,All_Junctions,Jaccard_Junctions,Psi3_Junctions_01,Psi5_Junctions_01,Theta_Junctions_01,All_Junctions_01,Jaccard_Junctions_01,Psi3_Junctions_001,Psi5_Junctions_001,Theta_Junctions_001,All_Junctions_001,Jaccard_Junctions_001,Psi3_Junctions_1e_6,Psi5_Junctions_1e_6,Theta_Junctions_1e_6,All_Junctions_1e_6,Jaccard_Junctions_1e_6,Psi3_Genes,Psi5_Genes,Theta_Genes,All_Genes,Jaccard_Genes,Psi3_Genes_01,Psi5_Genes_01,Theta_Genes_01,All_Genes_01,Jaccard_Genes_01,Psi3_Genes_001,Psi5_Genes_001,Theta_Genes_001,All_Genes_001,Jaccard_Genes_001,Psi3_Genes_1e_6,Psi5_Genes_1e_6,Theta_Genes_1e_6,All_Genes_1e_6,Jaccard_Genes_1e_6,no_theta_juncs_in_MIGs,no_jaccard_juncs_in_MIGs,no_MIGs_with_theta_juncs
RD538,86,76,45,207,21,35,51,24,110,9,22,28,6,56,2,6,1,0,7,0,63,52,35,143,16,29,35,17,76,5,18,20,4,39,2,4,1,0,5,0,2,2,2
UDN998168,86,79,9,174,9,45,52,6,103,4,26,25,4,55,2,8,4,0,12,1,62,52,8,111,8,34,34,5,64,3,21,16,4,34,2,6,3,0,7,1,0,0,0
RD117,85,46,37,168,277,58,23,28,109,191,43,14,16,73,115,13,2,2,17,18,51,34,27,103,207,34,19,20,67,142,25,11,11,43,85,8,2,1,11,15,1,15,1
UDN485673,85,77,61,223,7,62,45,27,134,5,29,22,3,54,2,9,10,0,19,1,64,61,53,165,6,47,36,22,98,5,21,17,2,37,2,6,6,0,10,1,2,0,2
GSS246329,84,82,13,179,5,57,56,8,121,5,25,30,6,61,5,6,5,2,13,1,63,61,12,120,3,41,44,7,80,3,20,24,5,43,3,5,3,1,8,1,1,0,1
GSS293969,83,73,10,166,3,43,45,5,93,3,24,22,1,47,2,8,6,0,14,1,57,54,9,110,1,32,35,5,67,1,18,17,1,33,1,5,4,0,8,1,0,0,0
RD368,82,55,25,162,5,61,31,15,107,4,34,15,13,62,4,10,4,6,20,1,52,39,17,101,4,42,21,9,68,3,22,10,7,37,3,7,2,1,8,1,4,0,4
RD382,81,57,29,167,6,44,28,17,89,4,26,16,8,50,3,6,6,3,15,0,52,40,23,103,4,29,19,13,54,3,19,9,6,30,2,5,3,2,8,0,1,0,1
RD393,79,48,25,152,7,50,39,13,102,4,29,25,6,60,2,10,2,4,16,2,50,32,17,91,3,34,26,9,61,1,20,19,3,37,0,7,2,3,11,0,1,0,1
UDN317520,78,60,13,151,0,53,40,3,96,0,25,24,0,49,0,1,4,0,5,0,60,46,11,103,0,41,29,2,64,0,19,18,0,35,0,1,3,0,4,0,0,0,0
UDN600230,78,72,13,163,8,39,44,5,88,5,17,20,3,40,5,4,7,0,11,2,55,53,13,111,5,31,33,5,61,2,15,15,3,30,2,3,3,0,5,1,0,0,0
UDN354231,76,84,32,192,1,50,54,17,121,1,24,31,8,63,0,7,11,0,18,0,50,56,28,121,1,34,36,16,75,1,15,20,7,35,0,3,6,0,9,0,4,0,4
RD421,75,55,25,155,6,35,38,14,87,4,19,21,4,44,2,7,5,1,13,0,46,41,20,96,5,19,28,11,50,3,12,15,2,27,1,3,2,0,5,0,1,0,1
GSS119197,74,81,45,200,6,49,43,24,116,5,22,27,9,58,2,7,4,4,15,0,62,56,39,149,5,42,27,20,85,4,17,17,7,40,2,3,2,4,9,0,3,1,3
RD379,74,57,22,153,5,45,43,13,101,4,22,20,5,47,2,11,6,1,18,0,53,42,16,104,4,32,31,8,64,3,13,16,4,29,1,7,3,1,9,0,3,0,2
GSS215019,72,43,7,122,3,47,29,4,80,2,19,17,3,39,2,4,4,1,9,1,54,31,5,83,0,33,21,3,51,0,12,13,2,24,0,1,3,0,3,0,0,0,0
