sampleID,Psi3_Junctions,Psi5_Junctions,Theta_Junctions,All_Junctions,Jaccard_Junctions,Psi3_Junctions_01,Psi5_Junctions_01,Theta_Junctions_01,All_Junctions_01,Jaccard_Junctions_01,Psi3_Junctions_001,Psi5_Junctions_001,Theta_Junctions_001,All_Junctions_001,Jaccard_Junctions_001,Psi3_Junctions_1e_6,Psi5_Junctions_1e_6,Theta_Junctions_1e_6,All_Junctions_1e_6,Jaccard_Junctions_1e_6,Psi3_Genes,Psi5_Genes,Theta_Genes,All_Genes,Jaccard_Genes,Psi3_Genes_01,Psi5_Genes_01,Theta_Genes_01,All_Genes_01,Jaccard_Genes_01,Psi3_Genes_001,Psi5_Genes_001,Theta_Genes_001,All_Genes_001,Jaccard_Genes_001,Psi3_Genes_1e_6,Psi5_Genes_1e_6,Theta_Genes_1e_6,All_Genes_1e_6,Jaccard_Genes_1e_6,no_theta_juncs_in_MIGs,no_jaccard_juncs_in_MIGs,no_MIGs_with_theta_juncs
GSS215019,72,45,7,124,2,48,24,4,76,2,21,16,3,40,2,4,4,1,9,1,56,34,5,88,0,35,20,3,52,0,13,13,2,25,0,1,3,0,3,0,0,0,NA
RD421,72,61,27,160,4,37,35,15,87,2,18,23,7,48,0,4,2,2,8,0,45,45,21,96,3,21,26,11,49,1,12,17,4,29,0,2,0,1,3,0,1,0,NA
UDN550488.Aligned.sortedByCoord.out.bam,70,60,477,607,109,58,50,419,527,84,43,38,335,416,67,24,27,219,270,34,38,32,252,282,91,36,28,222,251,69,26,21,185,205,54,14,14,124,138,27,389,82,NA
GSS198417,69,93,16,178,0,36,53,6,95,0,20,30,4,54,0,7,1,1,9,0,52,65,14,122,0,30,38,6,69,0,16,23,4,39,0,5,1,1,7,0,2,0,NA
RD379,69,57,21,147,2,42,40,10,92,1,21,19,5,45,1,9,6,2,17,0,53,43,15,103,1,31,30,6,60,1,13,15,4,28,1,6,3,2,9,0,3,0,NA
RD145,68,60,24,152,7,42,27,11,80,4,19,10,3,32,0,5,1,0,6,0,50,41,21,102,6,29,18,9,51,4,14,9,2,23,0,5,1,0,6,0,0,0,NA
RD376,67,70,33,170,3,44,51,17,112,1,19,19,6,44,1,3,7,2,12,0,39,42,20,96,2,28,29,8,62,1,12,15,2,28,1,2,6,0,8,0,3,0,NA
RD445,66,93,35,194,1,37,55,16,108,0,15,35,5,55,0,1,6,0,7,0,47,67,28,133,1,26,41,11,74,0,12,25,2,37,0,1,5,0,6,0,2,0,NA
RD464,65,79,72,216,10,34,54,39,127,8,21,20,15,56,7,7,9,1,17,3,40,52,50,132,4,17,32,26,68,3,8,11,8,23,2,3,5,0,6,1,3,0,NA
RD454,64,52,23,139,4,34,28,18,80,4,20,22,4,46,4,9,6,2,17,1,43,29,15,76,2,23,12,13,41,2,13,7,2,19,2,5,4,1,8,1,0,0,NA
